"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"RIA-015";"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.rahulolu";NA;"Eesti";"rahulolu"
"RIA-015";"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.halduskulu";NA;"Eesti";"halduskulu"
"RIA-015";"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.ajakulu";NA;"Eesti";"ajakulu"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.osutamistearv";20000;"Epost";"osutamistearv"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.rahulolu";NA;"Epost";"rahulolu"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.halduskulu";NA;"Epost";"halduskulu"
"MA-036";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.ajakulu";NA;"Epost";"ajakulu"
