"nimetus";"allasutus";"link";"variable";"value";"kanal";"naitaja"
"Üldhariduskooli tegevus- või koolitusloa väljastamine";"Haridus- ja Teadusministeerium";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Täiskasvanute koolitusasutuste tegevus- või koolitusloa väljastamine";"Haridus- ja Teadusministeerium";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Huvikoolidele tegevus- või koolitusloa andmine";"Haridus- ja Teadusministeerium";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kutseõppeasutustele õppe läbiviimise õiguse andmine";"Haridus- ja Teadusministeerium";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Veeteede Ameti Teataja";"Veeteede Amet";"http://www.vta.ee/editor/index.php?id=202";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Navigeerimisolusid tutvustav teatmik (Lootsiraamat)";"Veeteede Amet";"http://www.vta.ee/editor/index.php?id=3821";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Raamatumüük";"Eesti Arhitektuurimuuseum";"http://www.arhitektuurimuuseum.ee/muuseum/pood/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Piletite müük";"Eesti Arhitektuurimuuseum";"http://www.arhitektuurimuuseum.ee/kulastus/piletihinnad/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Ruumide broneerimine";"Eesti Arhitektuurimuuseum";"http://www.arhitektuurimuuseum.ee/muuseum/teenused/urituste-korraldamine/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Ekskursioonide tellimine ja giiditeenus";"Eesti Arhitektuurimuuseum";"http://arhitektuurimuuseum.ee/haridus/ekskursioonid/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridusprogrammide tellimine";"Eesti Arhitektuurimuuseum";"http://www.arhitektuurimuuseum.ee/haridus/haridusprogrammid/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kirjastamine";"Eesti Arhitektuurimuuseum";"http://arhitektuurimuuseum.ee/muuseum/publikatsioonid/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
